Source Page,Link,Status,Link Text
"https://events.hmcpl.org/index.php/event/2026-03-26/spring-cleaning-your-estate-papers","https://twitter.com/intent/tweet?text=Spring%20Cleaning:%20Your%20Estate%20Papers&url=https://events.hmcpl.org/index.php/event/2026-03-26/spring-cleaning-your-estate-papers",403,"Share on Twitter"
"https://events.hmcpl.org/index.php/event/2026-03-26/seniors-guide-gaming-downtown","https://twitter.com/intent/tweet?text=A%20Senior%27s%20Guide%20to%20Gaming%20(Downtown)&url=https://events.hmcpl.org/index.php/event/2026-03-26/seniors-guide-gaming-downtown",403,"Share on Twitter"
"https://events.hmcpl.org/index.php/event/2026-03-26/steam-club","https://twitter.com/intent/tweet?text=STEAM%20Club&url=https://events.hmcpl.org/index.php/event/2026-03-26/steam-club",403,"Share on Twitter"
"https://events.hmcpl.org/index.php/event/2026-03-26/pokemon-hour","https://twitter.com/intent/tweet?text=The%20Pok%C3%A9mon%20Hour&url=https://events.hmcpl.org/index.php/event/2026-03-26/pokemon-hour",403,"Share on Twitter"
"https://events.hmcpl.org/index.php/event/2026-03-26/magic-treehouse-tsunamis","https://twitter.com/intent/tweet?text=Magic%20Treehouse:%20Tsunamis&url=https://events.hmcpl.org/index.php/event/2026-03-26/magic-treehouse-tsunamis",403,"Share on Twitter"
"https://events.hmcpl.org/index.php/event/2026-03-26/gurley-girls-book-club","https://twitter.com/intent/tweet?text=Gurley%20Girls%20Book%20Club&url=https://events.hmcpl.org/index.php/event/2026-03-26/gurley-girls-book-club",403,"Share on Twitter"
"https://events.hmcpl.org/index.php/event/2026-03-26/reading-journal-meetup","https://twitter.com/intent/tweet?text=Reading%20Journal%20Meetup&url=https://events.hmcpl.org/index.php/event/2026-03-26/reading-journal-meetup",403,"Share on Twitter"
"https://events.hmcpl.org/index.php/event/2026-03-26/stories-under-stars","https://twitter.com/intent/tweet?text=Stories%20Under%20the%20Stars&url=https://events.hmcpl.org/index.php/event/2026-03-26/stories-under-stars",403,"Share on Twitter"
"https://events.hmcpl.org/index.php/event/2026-03-26/mad-movie-thon-o-rama-pee-wees-big-adventure-1985","https://twitter.com/intent/tweet?text=The%20MAD%20Movie-A-Thon-O-Rama:%20Pee-wee%27s%20Big%20Adventure%20(1985)&url=https://events.hmcpl.org/index.php/event/2026-03-26/mad-movie-thon-o-rama-pee-wees-big-adventure-1985",403,"Share on Twitter"
"https://events.hmcpl.org/index.php/event/2026-03-27/baby-lapsit","https://twitter.com/intent/tweet?text=Baby%20Lapsit&url=https://events.hmcpl.org/index.php/event/2026-03-27/baby-lapsit",403,"Share on Twitter"
"https://events.hmcpl.org/index.php/event/2026-03-27/sensory-storytime","https://twitter.com/intent/tweet?text=Sensory%20Storytime&url=https://events.hmcpl.org/index.php/event/2026-03-27/sensory-storytime",403,"Share on Twitter"
"https://events.hmcpl.org/index.php/event/2026-03-27/breastfeeding-support-group-toddlers","https://twitter.com/intent/tweet?text=Breastfeeding%20Support%20Group%20(Toddlers)&url=https://events.hmcpl.org/index.php/event/2026-03-27/breastfeeding-support-group-toddlers",403,"Share on Twitter"
"https://events.hmcpl.org/index.php/event/2026-03-27/tech-help","https://twitter.com/intent/tweet?text=Tech%20Help&url=https://events.hmcpl.org/index.php/event/2026-03-27/tech-help",403,"Share on Twitter"
"https://events.hmcpl.org/index.php/event/2026-03-27/all-ages-playtime","https://twitter.com/intent/tweet?text=All%20Ages%20Playtime&url=https://events.hmcpl.org/index.php/event/2026-03-27/all-ages-playtime",403,"Share on Twitter"
"https://events.hmcpl.org/index.php/event/2026-03-27/trivial-pursuit-library","https://twitter.com/intent/tweet?text=Trivial%20Pursuit%20at%20the%20Library%20&url=https://events.hmcpl.org/index.php/event/2026-03-27/trivial-pursuit-library",403,"Share on Twitter"
"https://events.hmcpl.org/index.php/event/2026-03-27/fabclub","https://twitter.com/intent/tweet?text=FABclub&url=https://events.hmcpl.org/index.php/event/2026-03-27/fabclub",403,"Share on Twitter"
